,title,price,link
10,"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/Arctic Grey/1.7 Kg), 21KHA0J6IN  ","57,490",https://amazon.in//Lenovo-ThinkBook-Antiglare-Keyboard-21KHA0J6IN/dp/B0CZ7BFQZL/ref=sr_1_148?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc&dib_tag=se&keywords=laptop&qid=1723796482&sprefix=laptop%2Caps%2C217&sr=8-148
11,"Lenovo LOQ 2024 13th Gen Intel Core i7-13650HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 4050 6GB/1Yr ADP Free/MSO 21/3 Month Game Pass/Grey/2.4Kg), 83DV00LWIN  ","1,03,490",https://amazon.in//sspa/click?ie=UTF8&spc=MToxODYzMjExNTg4Mzc4ODk5OjE3MjM3OTY0ODI6c3BfYnRmOjMwMDIwNTYyNTM3NTYzMjo6MDo6&url=%2FLenovo-i7-13650HX-39-6cm-300Nits-83DV00LWIN%2Fdp%2FB0D5D9SVMP%2Fref%3Dsr_1_149_sspa%3Fcrid%3DSI8S7XFM9KC6%26dib%3DeyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723796482%26sprefix%3Dlaptop%252Caps%252C217%26sr%3D8-149-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
12,"ASUS Zenbook 14, Intel Core Ultra 5, 14"" 3K OLED 16:10 120 Hz, Thin & Light Laptop, Built-in AI (16GB RAM/1 TB//Win 11/Office 2021/Backlit/Touchscreen/75WHr /Ponder Blue/1.28 Kg), UX3405MA-PZ552WS  ","1,07,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxODYzMjExNTg4Mzc4ODk5OjE3MjM3OTY0ODI6c3BfYnRmOjMwMDI1MDgzOTUyMDQzMjo6MDo6&url=%2FASUS-Zenbook-Intel-Ultra-Built%2Fdp%2FB0D89NT6VZ%2Fref%3Dsr_1_150_sspa%3Fcrid%3DSI8S7XFM9KC6%26dib%3DeyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723796482%26sprefix%3Dlaptop%252Caps%252C217%26sr%3D8-150-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
13,"Chuwi GemiBook Plus 15.6"" Laptop, 8GB RAM 256GB SSD, Windows 11, Intel N100 (Upto 3.4GHz), WIFI 6, USB-A 3.0, Webcam, Bluetooth 5.2, HDMI Port, 38Wh, 1.7kg (Iron Gray)  ","21,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0Mzc0NzIwMjc5MDgxODI1OjE3MjM3OTY0NTY6c3BfbXRmOjMwMDEzNzM2NDQ2NDEzMjo6MDo6&url=%2FChuwi-GemiBook-Plus-Windows-Bluetooth%2Fdp%2FB0CP98WK8J%2Fref%3Dsr_1_60_sspa%3Fcrid%3DSI8S7XFM9KC6%26dib%3DeyJ2IjoiMSJ9.4hINc7wPKAEhUSyIIZg482fqBPdd9Qk0OxYXFzGhDBZdJ1jhBWZpnaDLeha6OypMqPq_MPlvBpizUzNg6A3mj068GzxxjrLYTottTVscPccEGTMg2oJROCY0W-iedc0N6yqezXT1ltDcw2sJDIQjMlbA4lCscHuLZxbnU8NUvC0QeYYNRT2aAS9LgK14ko-ObEPizwTDYs4H9HQrfcq5J21VmCqr2Wg7dk5AFeg3la8.nbeJPzF3aOkNMozwbLe3m2ONTQLfcT9ysBhQy6G2UMU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723796456%26sprefix%3Dlaptop%252Caps%252C217%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"Lenovo IdeaPad Slim 3 AMD Ryzen 3 7320U 15.6 inch (39.6cm) FHD Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/3 Month Game Pass/Arctic Grey/1.62Kg), 82XQ008DIN  ","32,944",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjE5Mjk0MTkyODU0NzQ6MTcyMzc5NjQ4ODpzcF9hdGZfbmV4dDozMDAyODcwODEyNTIwMzI6OjA6Og&url=%2FLenovo-IdeaPad-39-6cm-Windows-82XQ008DIN%2Fdp%2FB0CCP88X9Q%2Fref%3Dsr_1_145_sspa%3Fcrid%3DSI8S7XFM9KC6%26dib%3DeyJ2IjoiMSJ9.qAKvDH-Yqej3j-LrutMyQv29xuOyqyGc7KwGtgM9dZmTk9nr0kOANwygWFSbjiPA8OCo2hU8zg0gSv-85C_WtOHbde6_VucZGtV0fEj8HFCGcIk-tK3h0vDAPRPE6_r4ZPrjIPjV1lN5wy5PCXaCfbYZKZFXP087FfAtICUpZCv4x-UeJA9p8YN7SLcyo8aMnhPDBwgdiPW3eEZpnH9QcBFc6v5d19j-5317n5gNIsY.qh_fcRIur_LJIopRbejAvXICbpKweoWLI0r-G6LqCgI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723796488%26sprefix%3Dlaptop%252Caps%252C217%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
15,"Acer Swift Go 14 Built-in AI PC Premium Laptop Intel Core Ultra 5 125H (14-inch OLED WQXGA+/16GB LPDDR5x/512GB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win11/MSO) SFG14-73, Pure Silver, 1.3 Kg  ","74,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjE5Mjk0MTkyODU0NzQ6MTcyMzc5NjQ4ODpzcF9hdGZfbmV4dDozMDAxNjY4Nzc3OTI1MzI6OjA6Og&url=%2FAcer-Premium-14-inch-Graphics-SFG14-73%2Fdp%2FB0CYHB7P1W%2Fref%3Dsr_1_146_sspa%3Fcrid%3DSI8S7XFM9KC6%26dib%3DeyJ2IjoiMSJ9.qAKvDH-Yqej3j-LrutMyQv29xuOyqyGc7KwGtgM9dZmTk9nr0kOANwygWFSbjiPA8OCo2hU8zg0gSv-85C_WtOHbde6_VucZGtV0fEj8HFCGcIk-tK3h0vDAPRPE6_r4ZPrjIPjV1lN5wy5PCXaCfbYZKZFXP087FfAtICUpZCv4x-UeJA9p8YN7SLcyo8aMnhPDBwgdiPW3eEZpnH9QcBFc6v5d19j-5317n5gNIsY.qh_fcRIur_LJIopRbejAvXICbpKweoWLI0r-G6LqCgI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723796488%26sprefix%3Dlaptop%252Caps%252C217%26sr%3D8-146-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
16,"Lenovo IdeaPad Slim 5 AMD Ryzen 5 7530U 14"" (35.5cm) WUXGA OLED Laptop (16GB/1TB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Arctic Grey/1.46Kg), 82XE007DIN  ","57,990",https://amazon.in//Lenovo-IdeaPad-35-5cm-Backlit-82XE007DIN/dp/B0CHM91SJ3/ref=sr_1_147?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.qAKvDH-Yqej3j-LrutMyQv29xuOyqyGc7KwGtgM9dZmTk9nr0kOANwygWFSbjiPA8OCo2hU8zg0gSv-85C_WtOHbde6_VucZGtV0fEj8HFCGcIk-tK3h0vDAPRPE6_r4ZPrjIPjV1lN5wy5PCXaCfbYZKZFXP087FfAtICUpZCv4x-UeJA9p8YN7SLcyo8aMnhPDBwgdiPW3eEZpnH9QcBFc6v5d19j-5317n5gNIsY.qh_fcRIur_LJIopRbejAvXICbpKweoWLI0r-G6LqCgI&dib_tag=se&keywords=laptop&qid=1723796488&sprefix=laptop%2Caps%2C217&sr=8-147
17,"Dell 15 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Intel UHD Graphics, Windows 11 + MSO'21, 15 Months McAfee, Black, 1.66kg  ","38,990",https://amazon.in//Dell-i3-1305U-Processor-39-62cm-GraphicsWin/dp/B0CNZ8MDLV/ref=sr_1_148?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.qAKvDH-Yqej3j-LrutMyQv29xuOyqyGc7KwGtgM9dZmTk9nr0kOANwygWFSbjiPA8OCo2hU8zg0gSv-85C_WtOHbde6_VucZGtV0fEj8HFCGcIk-tK3h0vDAPRPE6_r4ZPrjIPjV1lN5wy5PCXaCfbYZKZFXP087FfAtICUpZCv4x-UeJA9p8YN7SLcyo8aMnhPDBwgdiPW3eEZpnH9QcBFc6v5d19j-5317n5gNIsY.qh_fcRIur_LJIopRbejAvXICbpKweoWLI0r-G6LqCgI&dib_tag=se&keywords=laptop&qid=1723796488&sprefix=laptop%2Caps%2C217&sr=8-148
18,"HP Laptop 15, 13th Gen IntelÂ® Coreâ„¢ i5-1334U, 15.6-inch(39.6 cm), FHD, 8GB DDR4(3200 MHZ),512GB SSD,MSO,Dual Speakers,Win 11, Natural Silver, 1.6kg, 15-fd0220TU  ","51,990",https://amazon.in//HP-i5-1334U-15-6-inch-Speakers-15-fd0220TU/dp/B0CY2PZZJB/ref=sr_1_149?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.qAKvDH-Yqej3j-LrutMyQv29xuOyqyGc7KwGtgM9dZmTk9nr0kOANwygWFSbjiPA8OCo2hU8zg0gSv-85C_WtOHbde6_VucZGtV0fEj8HFCGcIk-tK3h0vDAPRPE6_r4ZPrjIPjV1lN5wy5PCXaCfbYZKZFXP087FfAtICUpZCv4x-UeJA9p8YN7SLcyo8aMnhPDBwgdiPW3eEZpnH9QcBFc6v5d19j-5317n5gNIsY.qh_fcRIur_LJIopRbejAvXICbpKweoWLI0r-G6LqCgI&dib_tag=se&keywords=laptop&qid=1723796488&sprefix=laptop%2Caps%2C217&sr=8-149
19,"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light Touchscreen FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC | 14"" (35.6 cm) FHD | Chromebook | WiFi | Bluetooth | Intel Graphics)  ","18,500",https://amazon.in//Refurbished-HP-Touchscreen-Chromebook-Bluetooth/dp/B0CWZSJV9W/ref=sr_1_150?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.qAKvDH-Yqej3j-LrutMyQv29xuOyqyGc7KwGtgM9dZmTk9nr0kOANwygWFSbjiPA8OCo2hU8zg0gSv-85C_WtOHbde6_VucZGtV0fEj8HFCGcIk-tK3h0vDAPRPE6_r4ZPrjIPjV1lN5wy5PCXaCfbYZKZFXP087FfAtICUpZCv4x-UeJA9p8YN7SLcyo8aMnhPDBwgdiPW3eEZpnH9QcBFc6v5d19j-5317n5gNIsY.qh_fcRIur_LJIopRbejAvXICbpKweoWLI0r-G6LqCgI&dib_tag=se&keywords=laptop&qid=1723796488&sprefix=laptop%2Caps%2C217&sr=8-150
